A,B,C,D,E
country,1998,2003,2008,2013
Albania,2.92,2,0,0
Algeria,0,1,1.83,2.33
Argentina,95.5,180.25,44.75,23.67
Aruba,1,1,0.5,0
Australia,314.5,301.17,20,29.5
Austria,37.5,11.5,3,10
Azerbaijan,0,17,1,0
B.V.I.,0,0,0,3
Bahrain,0,1,0,0
Belgium,709.95,610.8,335.46,161.67
Bermuda,0,0,0,0.5
Bhutan,0,0.33,0,0
Brazil,76.67,523.25,178.25,77.17
Brunei Darussalam,0,2.1,0,0
Bulgaria,0,0,0,1.67
Cambodia,0,0.33,0,0
Canada,1105.75,2781.13,3134.62,1919.75
,,,,
China,640.91,769.45,730.57,758.46
,,,,
Colombia,1,0.5,0.5,1.5
Croatia,0,12,8,0
Curacao,1,0,0,0
Czech Republic,96.16,114.14,56,1
Denmark,0.33,0,0,0
Dominican Republic,26.25,34.17,28.25,17.25
Ecuador,0,0,1.33,0
Egypt,11.5,14.33,0,0
England,1979.87,2526.63,2635.17,1451.25
Fiji,0,0.1,0,0
Finland,3.5,14,0,0
France,1009.2,1161.37,766,410.17
Georgia,0,0,4,0
Germany,936.33,1157.05,1025.47,369.75
Greece,4.33,2.5,1,0
Guatemala,1,0,0,0
Hungary,91.75,97.33,45.33,15.5
India,1.5,109.85,0,1.13
Indonesia,2.5,0,0,0
Ireland,253.5,107.5,66.33,62.5
Israel,13,48.17,8.5,35
Italy,306.25,584.87,254.33,103.33
Japan,119.36,420,332.83,234
Kazakhstan,57.17,42.72,29.17,7
Kuwait,0,8.5,0,0
Kyrgyzstan,2,0,0,0
Laos,0,1.1,0,0
Lebanon,0,1,0,0
Lesotho,0,0.1,0,0
Lithuania,2,0,0,0
Luxembourg,0.5,21.33,28.5,32.5
Macedonia,0.75,1.5,0,0
Mexico,185.67,345.33,298.92,275.86
Monaco,2.5,0,0,0
Mongolia,6.67,0.82,3.2,3.13
Morocco,0,0.5,0,0
Myanmar,5.5,4,0,0
Namibia,0,0.1,0,0
Netherlands,1045.5,516.67,433.5,36
Netherlands Antilles,0,1,1.5,0
North Korea,0,0.1,0,0
Norway,0,0,34,0
Oman,1,0.5,2.5,7.5
Pakistan,4.33,9.5,0,0
Panama,0,1,0,0
Papua New Guinea,3,0,0,0
Peru,0,0,0.25,0
Poland,189.64,211.28,148.58,57.25
Portugal,7.83,15.5,36,0
Qatar,0,0,7,0
Romania,17.06,18.81,20,0
Russia,254.5,231.87,280.75,35.5
Saudi Arabia,6,1,6,2.58
Scotland,0,0,25,0
Seychelles,0,0.1,0,0
Singapore,167.97,200.25,92.42,57.17
Slovakia,12.48,21,21.33,0
South Africa,5,9,3.5,0
Spain,609,552.83,520.5,30.17
Swaziland,0,0.1,0,0
Sweden,236.67,172,81,33.5
Switzerland,35,68.33,21.5,8.33
Taiwan,93.08,105.75,41,49.83
Tanzania,0,0,0,1
Thailand,115.42,211.58,79.83,32.33
Tunisia,0,2.5,0,0
Turkey,15.48,7.14,1.5,2
Turkmenistan,1,0,0,0
U.A.E.,21.17,24.5,60,37.67
U.S.A.,38220.93,51664.85,53456.88,35413.1
Ukraine,37.17,45.5,51.5,0
Uruguay,0,0.25,10,0
Uzbekistan,15.83,0,0,0
Venezuela,80,95.5,37.5,6
Vietnam,43.67,30.17,25,32.5
Zambia,0,0.1,0,0
